iter;target;length...;num_ra...;random...;random..._1;Column1;;iter;target;length...;num_ra...;random...;random..._1;Column1;;length;num_raÉ;random...;random..._1;;Oberes 1/3;length;num_raÉ;random...;random..._1
30;0,9951;302,8;18,54;0,8198;0,04166;;;116;0,9664;399,6;12,11;0,6804;0,2662;;;5;1;0,4;0,005;;Mittelwert;177,57874;11,72878;0,76082;0,0899112
19;0,9938;60,01;16,34;0,6346;0,05378;;;74;0,9722;397,7;5,861;0,765;0,1141;;;202,5;10,5;0,695;0,1525;;Min;8,049;1,354;0,4502;0,01652
46;0,9934;253,7;4,993;0,8441;0,02463;;;117;0,8297;397,2;6,063;0,426;0,1663;;;400;20;0,99;0,3;;Max;398,1;19,95;0,9898;0,285
14;0,9932;88,59;6,045;0,69;0,02074;;;92;0,9792;396,2;13,24;0,4518;0,02583;;;;;;;;;;;;
12;0,993;45,77;9,51;0,9361;0,09162;;;11;0,9374;395,6;15,22;0,5655;0,2378;;;;;;;;Unteres 1/3;length;num_raÉ;random...;random..._1
17;0,9929;24,73;11,18;0,7916;0,1569;;;71;0,974;394,5;14,46;0,7437;0,2251;;;;;;;;Mittelwert;222,9734;9,88867;0,663064;0,1940181
50;0,9929;10,51;5,453;0,7639;0,285;;;57;0,9694;392,6;6,138;0,8772;0,1367;;;;;;;;Min;12,85;1,239;0,4001;0,02583
18;0,9928;378,1;12,14;0,933;0,04556;;;106;0,9615;390,8;11,24;0,9808;0,2386;;;;;;;;Max;399,6;19,76;0,9808;0,2974
125;0,9926;32,31;19,53;0,953;0,08696;;;91;0,9747;384,8;13,96;0,7509;0,2097;;;;;;;;;;;;
48;0,992;212,2;18,57;0,5553;0,02446;;;134;0,9759;382,3;13,03;0,6704;0,2455;;;;;;;;;;;;
16;0,9914;45,42;8,867;0,8097;0,1272;;;29;0,8914;373,4;14,24;0,4389;0,2279;;;;;;;;;;;;
121;0,9905;23,17;5,614;0,6036;0,03047;;;20;0,9634;371,4;7,608;0,843;0,2192;;;;;;;;;;;;
102;0,9898;226,4;16,5;0,8173;0,05214;;;142;0,9041;370,6;14,69;0,4974;0,2005;;;;;;;;;;;;
105;0,9893;67,81;10,09;0,6989;0,04074;;;98;0,9821;369,2;6,805;0,7189;0,03921;;;;;;;;;;;;
139;0,9892;289,8;18,42;0,7786;0,07191;;;124;0,9786;365,8;14,65;0,714;0,1412;;;;;;;;;;;;
51;0,9891;8,049;4,075;0,8185;0,2306;;;27;0,8718;363,9;12,84;0,4093;0,2792;;;;;;;;;;;;
