|   iter    |  target   | length... | random... | random... |
-------------------------------------------------------------
| 1         | 9.778e+03 | 336.5     | 0.7159    | 0.005034  |
| 3         | 9.172e+03 | 153.1     | 0.3486    | 0.122     |
| 4         | 9.536e+03 | 433.4     | 0.4208    | 0.2071    |
| 5         | 9.779e+03 | 167.5     | 0.8706    | 0.01308   |
| 6         | 9.006e+03 | 538.0     | 0.419     | 0.1698    |
| 9         | 9.785e+03 | 701.7     | 0.8867    | 0.03009   |
| 11        | 9.501e+03 | 83.19     | 0.4227    | 0.2876    |
| 12        | 9.781e+03 | 428.9     | 0.688     | 0.09808   |
| 13        | 9.83e+03  | 550.8     | 0.8279    | 0.0104    |
| 14        | 9.801e+03 | 601.4     | 0.9791    | 0.2257    |
| 15        | 9.813e+03 | 228.0     | 0.7835    | 0.03545   |
| 16        | 9.792e+03 | 361.1     | 0.9004    | 0.09162   |
| 20        | 9.67e+03  | 121.6     | 0.5875    | 0.2114    |
| 21        | 9.509e+03 | 86.36     | 0.4158    | 0.2098    |
| 23        | 9.695e+03 | 532.7     | 0.5146    | 0.2837    |
| 24        | 9.822e+03 | 471.3     | 0.8953    | 0.04556   |
| 25        | 9.82e+03  | 115.7     | 0.8012    | 0.1223    |
| 26        | 9.809e+03 | 136.5     | 0.919     | 0.1076    |
| 27        | 9.786e+03 | 601.9     | 0.7215    | 0.2656    |
| 28        | 9.789e+03 | 500.8     | 0.7459    | 0.1079    |
| 29        | 9.839e+03 | 219.6     | 0.888     | 0.1313    |
| 30        | 9.739e+03 | 772.0     | 0.6602    | 0.1884    |
| 31        | 9.77e+03  | 96.22     | 0.9405    | 0.1377    |
| 32        | 9.501e+03 | 464.8     | 0.41      | 0.07492   |
| 33        | 9.815e+03 | 723.2     | 0.5722    | 0.005847  |
| 35        | 9.49e+03  | 709.3     | 0.3601    | 0.273     |
| 37        | 9.795e+03 | 554.3     | 0.9874    | 0.05584   |
| 38        | 9.754e+03 | 114.0     | 0.9239    | 0.2106    |
| 39        | 9.777e+03 | 57.47     | 0.7504    | 0.2274    |
| 40        | 9.821e+03 | 738.8     | 0.7073    | 0.04166   |
| 42        | 9.823e+03 | 200.7     | 0.8528    | 0.164     |
| 43        | 9.804e+03 | 444.5     | 0.8352    | 0.04163   |
| 44        | 9.762e+03 | 227.0     | 0.584     | 0.291     |
| 46        | 9.783e+03 | 190.2     | 0.801     | 0.1194    |
| 47        | 9.772e+03 | 691.5     | 0.7422    | 0.1691    |
| 50        | 9.773e+03 | 571.8     | 0.5585    | 0.008704  |
| 51        | 9.804e+03 | 601.7     | 0.8092    | 0.153     |
| 53        | 9.735e+03 | 115.0     | 0.9334    | 0.06101   |
| 55        | 9.84e+03  | 582.4     | 0.724     | 0.06243   |
| 56        | 9.805e+03 | 501.4     | 0.9495    | 0.05561   |
| 57        | 9.746e+03 | 764.6     | 0.6608    | 0.1439    |
| 58        | 9.828e+03 | 393.5     | 0.8344    | 0.2938    |
| 61        | 9.726e+03 | 543.3     | 0.547     | 0.118     |
| 63        | 9.801e+03 | 222.8     | 0.7591    | 0.02473   |
| 64        | 9.779e+03 | 220.3     | 0.6118    | 0.06279   |
| 66        | 9.654e+03 | 492.8     | 0.5562    | 0.1978    |
| 68        | 9.778e+03 | 115.7     | 0.7939    | 0.1076    |
| 69        | 9.724e+03 | 221.6     | 0.5466    | 0.0482    |
| 70        | 9.81e+03  | 551.7     | 0.7693    | 0.1354    |
| 73        | 9.802e+03 | 221.2     | 0.9353    | 0.02407   |
| 74        | 9.804e+03 | 223.6     | 0.9086    | 0.007157  |
| 75        | 9.593e+03 | 672.2     | 0.4201    | 0.09235   |
| 78        | 9.647e+03 | 39.18     | 0.4166    | 0.006561  |
| 79        | 9.795e+03 | 220.3     | 0.9364    | 0.2986    |
| 80        | 9.776e+03 | 227.3     | 0.9701    | 0.005046  |
| 81        | 9.821e+03 | 552.4     | 0.829     | 0.2958    |
| 83        | 9.738e+03 | 85.8      | 0.608     | 0.0913    |
| 84        | 9.791e+03 | 553.4     | 0.8947    | 0.05138   |
| 88        | 9.785e+03 | 550.1     | 0.8156    | 0.1583    |
| 89        | 9.806e+03 | 221.8     | 0.9727    | 0.276     |
| 90        | 9.833e+03 | 583.1     | 0.9343    | 0.2727    |
| 93        | 9.844e+03 | 649.6     | 0.7423    | 0.2674    |
| 94        | 9.801e+03 | 444.5     | 0.8128    | 0.03983   |
| 95        | 9.816e+03 | 650.3     | 0.8939    | 0.1566    |
| 96        | 9.68e+03  | 492.8     | 0.5378    | 0.1999    |
| 98        | 9.782e+03 | 226.4     | 0.9499    | 0.04039   |
| 99        | 9.787e+03 | 444.5     | 0.8652    | 0.04328   |
| 100       | 9.786e+03 | 648.9     | 0.8825    | 0.1198    |
| 103       | 9.77e+03  | 200.0     | 0.9895    | 0.236     |
| 104       | 9.804e+03 | 91.37     | 0.8091    | 0.2925    |
| 108       | 9.82e+03  | 582.4     | 0.6784    | 0.08242   |
| 109       | 9.766e+03 | 739.3     | 0.8907    | 0.2676    |
| 110       | 9.795e+03 | 602.6     | 0.9332    | 0.05193   |
| 112       | 9.673e+03 | 73.57     | 0.5463    | 0.04778   |
| 113       | 9.82e+03  | 722.7     | 0.987     | 0.06742   |
| 114       | 9.133e+03 | 722.4     | 0.2648    | 0.01294   |
| 115       | 9.741e+03 | 472.1     | 0.99      | 0.005     |
| 117       | 9.666e+03 | 137.1     | 0.4753    | 0.2911    |
| 119       | 9.763e+03 | 407.0     | 0.9801    | 0.1237    |
| 121       | 9.797e+03 | 369.4     | 0.9599    | 0.1729    |
| 122       | 9.782e+03 | 90.58     | 0.8729    | 0.1855    |
| 123       | 9.8e+03   | 111.9     | 0.9299    | 0.007794  |
| 124       | 9.812e+03 | 368.6     | 0.9643    | 0.0856    |
| 127       | 9.788e+03 | 648.9     | 0.9126    | 0.1527    |
| 129       | 9.822e+03 | 111.1     | 0.857     | 0.07364   |
| 130       | 9.806e+03 | 665.7     | 0.8335    | 0.1636    |
| 133       | 9.813e+03 | 664.9     | 0.7694    | 0.1668    |
| 137       | 9.72e+03  | 190.9     | 0.5785    | 0.287     |
| 139       | 9.785e+03 | 137.7     | 0.941     | 0.07653   |
| 143       | 9.812e+03 | 137.0     | 0.9526    | 0.09321   |
| 144       | 9.811e+03 | 428.1     | 0.9377    | 0.05516   |
| 145       | 9.372e+03 | 701.2     | 0.4202    | 0.2002    |
| 146       | 9.811e+03 | 664.3     | 0.9874    | 0.0694    |
| 148       | 9.833e+03 | 168.3     | 0.8831    | 0.05632   |
| 149       | 9.751e+03 | 700.9     | 0.9287    | 0.09195   |
=============================================================
|   iter    |  target   | length... | random... | random... |
-------------------------------------------------------------
| 1         | 819.8     | 336.5     | 0.7858    | 0.005034  |
| 5         | 820.5     | 167.5     | 0.901     | 0.01308   |
